text	label
SJÖSTRÖMS DRÖMLIV BLAND VINRANKORNA I SYDAFRIKA	1
Rensa ut och bli glad med Konmarimetoden	1
"Det är skoj att få chansen	1
Vad är det roligaste med att vara hästskötare?	1
Wede har hittat orken och glädjen	1
Holmlund tog snabb revansch - vann sin 16:e seger: "Superkul"	1
Kommunanställda trivs allt bättre	1
Stolthet och ...glädje	1
"Det är väl alltid trevligt att vara het"	1
GLÄDJEBESKEDET: ROLFÖ ÄR TILLBAKA	1
Jag känner mig snabbare och starkare	1
"Det känns att vi har fått ny energi"	1
Lottas tårar efter fina hyllningen till Lill-Babs	2
Varm och tolerant personskildring bakom barnslig yta	2
"Vännen om Ewert Ljusberg: ""Många strängar på sin lyra"""	2
De ser kärleken och tiden som en gåva	2
Göran berättar om kärleken	2
Alltför kär i allas Austen	2
Världen uttrycker sympati för Nice	2
Många vill ta hand om igelkottarna	2
Medmänsklighet även i de dystraste av tider	2
Den trevlige göteborgaren	2
- Hon är en bra förebild	2
Kvinnojourer får hjälp med att samla in pengar	2
Sångerskan Joni Mitchell hyllas på gala: 'Hedrad'	2
»Jag älskar dej, Gustav.«	2
I går tjusade hon mig igen	2
KÄRLEKEN VET INGA GRÄNSER	2
Kraven på att visa nationell samling ökar	2
Jag hade kunnat gifta mig med Kevin Costner	2
Varför vill man dö för någon annan?	2
Verklighet som berör	2
Sympatisk bekräftelse av homosexuella	2
Linnéa Claeson: Tack	2
Morgan är verkligen en jättefin person'	2
Helén väntar på a-kassa - får nu hjälp av läsarna	2
Fina gesten efter Salmings ALS-sjukdom: Börje - du går aldrig ensam	2
Turistö stängs för att skydda sällsynt ödla	2
Turistströmmen kan hjälpa hotad sköldpadda	2
Lillasyster ska rädda livet på Kate	2
Ivankas stöd till Trump i krisen	2
"Det är kärlek när man skrattar ihop så man gråter	2
Ulla Björklund: Stark, klok och livsbejakande	2
Zara Larssons program går rakt in i hjärtat	2
Adam Svanell: Var engagemanget för flyktingar bara en trend?	2
Efter hemliga bröllopet: Skölds romantiska plan med Läckberg	2
SVT-profilen har gift sig: Är underbart	2
Fortsatta oroligheter i Rosengård	3
Nytt inspelat hot från Saddam	3
Oro för fler olyckor - efter lättnaderna	3
Landet kan vara nära en kollaps	3
Anja: Jag var RäDD	3
SVENSKARNA MITT I FASAN	3
Bejaka föräldrars oroskänslor	3
Samhällsanda: Jag fasar för de efterlevande	3
Fasta situationer oroar Källström	3
Tullen varnar för Kinadrog	3
Rånad butik riskerar att rånas på nytt	3
Unika naturtyper I forna DDR hotas	3
Hajskräck i Kroatien	3
WHO:s varning inför sommaren: Snabb spridning av apkoppor	3
Public service är i kris	3
Hotet mot stjärnan	3
EU-oro över hot om biltullar	3
Varning för halka på varma vägar	3
Värmen hotar att rubba södra Sveriges ekosystem	3
En döende planet	3
FI varnar för ökade risker	3
Ökad risk när Iran växlar upp kärnteknikprogram	3
Experterna om Riksbanken: Kronan är en jätterisk	3
Det som är riktigt illa är att de riktar sig mot barn och har pornografiskt innehåll	3
Ryska hotet präglar Finlands presidentval	3
Globalt stöd till unga och fattiga hotas	3
Barn varnas för hundman	3
Sambolag ger falsk trygghet	3
Varning för vägpiraterna	3
Bostäder och börsen oroar Ingves	3
Samhälle under hot i Södertälje	3
Det är dyrt och farligt att falla	3
Andersson: "Risker med fem byten"	3
"Jag skulle akta mig för Lindros"	3
Är du orolig för terrordåd?	3
KINA HOTAR DEMOKRATIN	3
USA:s stängda statsapparat skapar förtvivlan	4
”Syrien helvetet på jorden”	4
HANNA: Sen har besvikelsen sköljt över dem i den vackra vårkvällen.	4
"Bert Karlssons stora tvivel på Christer Sjögren i Vikingarna: ""Var inte glad"""	4
En besvikelsens dag för folkaktieägare	4
­ Mina föräldrar läste inga sagor	4
""" Vill inte känna mig som sjuk trött vekling"	4
Krisen tar kål på Sydkorea	4
När kroppen inte lyder längre	4
Jag ältar på samtidigt som livet rullar vidare	4
En före detta slavs outhärdliga berättelse	4
Nedlagda gravar mötte anhöriga	4
Kikkis svåra tid - berättar efter olyckan	4
Döende stjärnan helt förändrad av sjukdomen	4
Ohlys vädjan om stöd: Är ingen förövare	4
Stängda gränser får grödor att ruttna bort	4
Hoppet ute för demokratin efter Nicolás Maduros valseger	4
Linnea Henriksson: Visste inte att sorg kunde göra så ont	4
Hanna Hellquist: Viljan att förstöra något så vackert som en larv säger något om hela vår värld	4
Han gör mig tårögd redan på sidan 14	4
De är inflationens verkliga förlorare	4
Shakir återvände till sorgset Irak	4
Deras kära blev offer. Riksdagsmannen har kämpat i 20 år för sin psyksjuka	4
Årstafruns liv kantades av sorg	4
"DET BLEV SÅ ENSAMT"	4
Adriano tar paus: "Jag har förlorat motivationen"	4
”Slaget förlorat”	4
Sjukdomen har knäckt Marit. Nu lämnar hon alla politiska uppdrag	4
Jag har rätt att vara olycklig	4
Besviken på djupt besviken Obama	4
”Krigets grymheter går inte att beskriva”	4
USA flaggar på halv stång för påven	4
Att sörja en mamma	4
Föräldrar arga över skolbyte	5
Ny bilväg förbi skolgård engagerar Åkarpsborna	5
Dif fördömer bengaliska eldar	5
Protester mot nybygge vid reservatet	5
"""De borde fått hårdare straff"""	5
IOK kastar ut medlem	5
Teresa Küchler: Lukasjenko och Erdogan skrattar åt EU	5
En studie av det svenska judehatet	5
V svartmålar hela Karolinska	5
Främlingsfientligt brev sprids i brevlådor	5
Fackboss kritiserar miljonstöd till S	5
En studie av det svenska judehatet	5
Kritiken av SD klingar falskt	5
Ger du barn en käftsmäll så lämnar det spår	5
En m-valsedel dras in efter bråk i Österåker	5
Koizumi kritiseras för tempelbesök	5
Kent Härstedt om myndigheternas informationshaveri: Krisberedskapen	5
Familj tar strid för att kunna bo kvar	5
Fackliga protester i Argentina	5
Finland protesterar mot CIA-flyg	5
Skamligt hur man struntar i de svagaste	5
BOK Full av välfunna elakheter	5
Modern Maria upprör kyrkan	5
Hat döljer sig under ytan	5
Rysk ilska över uttalande	5
Kritik mot advokaters reklam: "Spelar på gangsterromantik"	5
Gränsbråken tilltar i södra Libanon	5
Situationen gör mig förbannad	5
BBC erkänner: Klippte bort publikens burop åt Ryssland	5
Striden om hattarna blossar upp på nytt	5
"Jag är arg för jag trodde vi hade kommit längre än så här"	5
SKÄLLDE UT FANSEN	5
Olsen ska ge igen för maskandet: "Skiter om de blir frustrerade"	5
"Rättvisan är satt ur spel". Advokaten kräver miljonskadestånd till Rätz	5
Skärpt konflikt drabbar Nepal	5
Han fördöms av sin hustru	5
Kerstin Gezelius: Hatet är en osynlig gas som har läckt ut i samhället	5
Jag hoppas fortfarande	6
Sverige blir ännu bättre i VM	6
Elvan som ska ge oss en drömstart	6
"Över stock och Steen mot målet. ""Den här säsongen ska bli inihelvete kul"""	6
Nu ska du få hjälp	6
"JAPAN
Arbetande kvinnor ska rädda ekonomin"	6
"Professor: Risken för smitta ""försvinnande liten"""	6
Musik är framtiden	6
Ny metod avslöjar tarmsjukdom	6
Ghoddos optimist: Vet hur bra vi är på hemmaplan	6
Gradvis ljusare i ny kalkyl	6
Ekströms dröm om dubbla segrar kan slå in	6
"""Att förebygga fallskador kan bidra till förbättrade levnadsvillkor för många människor och deras närstående. """	6
Ett höjt pris på koldioxid är det bästa och billigaste sättet att rädda klimatet	6
Diabetiker kan få ett nytt liv. Konstgjord bukspottkörtel kan snart testas	6
Regeringen vill lösa krisen med snabbutbildade lärare	6
Moderna lovar minst ett års immunitet	6
FN-panel ska skydda jordens hotade arter	6
Usher satsar på att vinna en Oscarstatyett	6
Norqvist hoppas på fjärde raka	6
Enorm potential i energieffektivisering	6
Kubasvensken hoppas på Irland	6
Ny grundlag ger afghanska kvinnor hopp	6
 Världen inte bara tragedier. Nu blir det svårare att överge gruvarbetare.	6
"Styrkan hos allmänheten är större än någonsin"	6
Bil i luften blir vinst för miljön	6
Hoppet tänds för avstängde Axelsson	6
Jag tror vi kan vinna hela skiten	6
Hoppet står till FN	6
Rekonstruktion är Saabs enda hopp	6
Ungdomar tror på framtiden som aldrig förr	6
Reza Talebi hoppas på personkryss	6
Nya ministern ska ordna jobben	6
Stridsberg: Spelet är inte förlorat	6
